shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
臺中市大雅區陽明國小1樓教室,臺中市大雅區,True,944,台中,台中市,45,良好,9207.766969120665,Safe,"水災,震災,土石流",24.2213,120.632
臺中市東勢區新成國小禮堂,臺中市東勢區,True,800,台中,台中市,45,良好,18703.52819843195,Safe,"水災,震災,土石流",24.2213,120.8394
六路社區活動中心,臺中市沙鹿區,True,126,台中,台中市,45,良好,12671.268847749046,Safe,"水災,震災,土石流,海嘯",24.221573,120.578484
臺中市大雅區大雅國小體育館,臺中市大雅區,True,950,台中,台中市,45,良好,8614.572424168451,Safe,"水災,震災,土石流",24.2222,120.6503
晉江社區活動中心,臺中市沙鹿區,True,86,台中,台中市,45,良好,12589.447507270967,Safe,"水災,震災,土石流,海嘯",24.222652,120.580577
臺中市立大雅國中體育館,臺中市大雅區,True,820,台中,台中市,45,良好,8815.208625568981,Safe,"水災,震災,土石流",24.2241,120.6504
福興社區活動中心,臺中市沙鹿區,True,95,台中,台中市,45,良好,13754.266298547213,Safe,"水災,震災,土石流,海嘯",24.224608,120.567398
北勢社區活動中心,臺中市沙鹿區,True,76,台中,台中市,45,良好,13475.141282716866,Safe,"水災,震災,土石流,海嘯",24.224819,120.571125
臺中市北勢國中禮堂,臺中市沙鹿區,True,259,台中,台中市,45,良好,13650.554591315247,Safe,"水災,震災,土石流,海嘯",24.225175,120.569209
北勢國民中學操場,臺中市沙鹿區,True,451,台中,台中市,45,良好,13650.554591315247,Safe,"水災,震災,土石流,海嘯",24.225175,120.569209
停四雅楓停車場,臺中市大雅區,True,190,台中,台中市,45,良好,8813.526878446233,Safe,"水災,震災",24.225474,120.656843
斗抵社區活動中心,臺中市沙鹿區,True,157,台中,台中市,45,良好,14875.800281845823,Safe,"水災,震災,土石流,海嘯",24.22585,120.554569
鎌村里活動中心,臺中市豐原區,True,100,台中,台中市,45,良好,10430.92231582978,Safe,水災,24.2262,120.7299
大南國小（多功能教室）,臺中市新社區,True,150,台中,台中市,45,良好,15939.3559997224,Safe,"水災,震災,土石流",24.226742,120.804693
臺中市大雅區上雅社區活動中心,臺中市大雅區,True,50,台中,台中市,45,良好,9231.8200939002,Safe,"水災,震災,土石流",24.2281,120.6509
臺中市新社區公所,臺中市新社區,True,50,台中,台中市,45,良好,16666.35137031892,Safe,"水災,震災,土石流",24.2282,120.8122
臺中市大雅區公所,臺中市大雅區,True,120,台中,台中市,45,良好,9400.628095385908,Safe,"水災,震災,土石流",24.2289,120.6478
